composition
INF174K01LT0|INF174K01LT0=1.0000
"INF174K01LT0,INF966L01911|INF174K01LT0=0.9500,INF966L01911=0.0500"
"INF174K01LT0,INF966L01911|INF174K01LT0=1.0000,INF966L01911=0.0000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.0000,INF966L01986=1.0000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.0500,INF966L01986=0.9500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.1000,INF966L01986=0.9000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.1500,INF966L01986=0.8500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.2000,INF966L01986=0.8000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.2500,INF966L01986=0.7500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.3000,INF966L01986=0.7000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.3500,INF966L01986=0.6500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.4000,INF966L01986=0.6000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.4500,INF966L01986=0.5500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.5000,INF966L01986=0.5000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.5500,INF966L01986=0.4500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.6000,INF966L01986=0.4000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.6500,INF966L01986=0.3500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.7000,INF966L01986=0.3000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.7500,INF966L01986=0.2500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.8000,INF966L01986=0.2000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.8500,INF966L01986=0.1500"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.9000,INF966L01986=0.1000"
"INF174K01LT0,INF966L01986|INF174K01LT0=0.9500,INF966L01986=0.0500"
"INF174K01LT0,INF966L01986|INF174K01LT0=1.0000,INF966L01986=0.0000"
"INF179K01426,INF879O01100|INF179K01426=0.0000,INF879O01100=1.0000"
"INF179K01426,INF879O01100|INF179K01426=0.0500,INF879O01100=0.9500"
"INF179K01426,INF879O01100|INF179K01426=0.1000,INF879O01100=0.9000"
"INF179K01426,INF879O01100|INF179K01426=0.1500,INF879O01100=0.8500"
"INF179K01426,INF879O01100|INF179K01426=0.2000,INF879O01100=0.8000"
"INF179K01426,INF879O01100|INF179K01426=0.2500,INF879O01100=0.7500"
"INF179K01426,INF879O01100|INF179K01426=0.3000,INF879O01100=0.7000"
"INF179K01426,INF879O01100|INF179K01426=0.3500,INF879O01100=0.6500"
"INF179K01426,INF879O01100|INF179K01426=0.4000,INF879O01100=0.6000"
"INF179K01426,INF879O01100|INF179K01426=0.4500,INF879O01100=0.5500"
"INF179K01426,INF879O01100|INF179K01426=0.5000,INF879O01100=0.5000"
"INF179K01426,INF879O01100|INF179K01426=0.5500,INF879O01100=0.4500"
"INF179K01426,INF879O01100|INF179K01426=0.6000,INF879O01100=0.4000"
"INF179K01426,INF879O01100|INF179K01426=0.6500,INF879O01100=0.3500"
"INF179K01426,INF879O01100|INF179K01426=0.7000,INF879O01100=0.3000"
"INF179K01426,INF879O01100|INF179K01426=0.7500,INF879O01100=0.2500"
"INF179K01426,INF879O01100|INF179K01426=0.8000,INF879O01100=0.2000"
"INF179K01426,INF879O01100|INF179K01426=0.8500,INF879O01100=0.1500"
"INF179K01426,INF879O01100|INF179K01426=0.9000,INF879O01100=0.1000"
"INF179K01426,INF879O01100|INF179K01426=0.9500,INF879O01100=0.0500"
"INF179K01426,INF879O01100|INF179K01426=1.0000,INF879O01100=0.0000"
"INF179K01608,INF879O01100|INF179K01608=0.0000,INF879O01100=1.0000"
"INF179K01608,INF879O01100|INF179K01608=0.0500,INF879O01100=0.9500"
"INF179K01608,INF879O01100|INF179K01608=0.1000,INF879O01100=0.9000"
"INF179K01608,INF879O01100|INF179K01608=0.1500,INF879O01100=0.8500"
"INF179K01608,INF879O01100|INF179K01608=0.2000,INF879O01100=0.8000"
"INF179K01608,INF879O01100|INF179K01608=0.2500,INF879O01100=0.7500"
"INF179K01608,INF879O01100|INF179K01608=0.3000,INF879O01100=0.7000"
"INF179K01608,INF879O01100|INF179K01608=0.3500,INF879O01100=0.6500"
"INF179K01608,INF879O01100|INF179K01608=0.4000,INF879O01100=0.6000"
"INF179K01608,INF879O01100|INF179K01608=0.4500,INF879O01100=0.5500"
"INF179K01608,INF879O01100|INF179K01608=0.5000,INF879O01100=0.5000"
"INF179K01608,INF879O01100|INF179K01608=0.5500,INF879O01100=0.4500"
"INF179K01608,INF879O01100|INF179K01608=0.6000,INF879O01100=0.4000"
"INF179K01608,INF879O01100|INF179K01608=0.6500,INF879O01100=0.3500"
